Driver,2018,2019,2020,2021,2022,2023,2024,Average
Lewis Hamilton,50.0,50.0,40.0,30.0,40.0,35.0,45,41.429
Max Verstappen,10.0,12.5,25.0,25.0,35.0,55.0,55,31.071
Charles Leclerc,0.15,3.5,10.0,12.0,12.0,24.0,34,13.664
Lando Norris,0.0,0.25,2.0,5.0,15.0,20.0,20,10.375
Fernando Alonso,30.0,0.0,0.0,20.0,20.0,5.0,18,18.6
George Russell,0.0,0.175,1.0,1.0,5.0,8.0,18,5.529
Sergio Perez,5.0,3.5,8.0,8.0,10.0,10.0,14,8.357
Carlos Sainz,0.75,4.0,8.0,10.0,10.0,12.0,12,8.107
Valtteri Bottas,12.0,8.5,8.0,10.0,10.0,10.0,10,9.786
Daniel Ricciardo,6.0,34.0,20.0,15.0,15.0,2.1,7,14.157
Pierre Gasly,0.4,1.25,2.0,5.0,5.0,5.0,6,3.521
Esteban Ocon,3.0,0.0,5.0,5.0,5.0,6.0,6,5.0
Oscar Piastri,0.0,0.0,0.0,0.0,0.0,2.0,6,4.0
Kevin Magnussen,2.5,1.125,5.0,0.0,5.0,5.0,5,3.938
Alexander Albon,0.0,0.165,2.5,0.0,2.0,3.0,3,2.133
Lance Stroll,1.8,1.125,3.0,10.0,10.0,2.0,3,4.418
Nico Hulkenberg,5.5,4.5,0.0,0.0,0.0,2.0,2,3.5
Zhou Guanyu,0.0,0.0,0.0,0.0,1.0,2.0,2,1.667
Logan Sargeant,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0
Yuki Tsunoda,0.0,0.0,0.0,0.5,0.75,1.0,1,0.812
Sebastian Vettel,60.0,39.0,30.0,15.0,15.0,0.0,0,31.8
Kimi Raikkonen,40.0,4.5,5.0,10.0,0.0,0.0,0,14.875
Romain Grosjean,4.45,1.75,7.0,0.0,0.0,0.0,0,4.4
Nicholas Latifi,0.0,0.0,1.0,1.0,1.0,0.0,0,1.0
Mick Schumacher,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0
Nikita Mazepin,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0
Antonio Giovinazzi,0.0,0.225,1.0,1.0,0.0,0.0,0,0.742
Daniil Kvyat,0.0,0.3,2.0,0.0,0.0,0.0,0,1.15
Robert Kubica,0.0,0.5,0.0,0.0,0.0,0.0,0,0.5
Stoffel Vandoorne,7.0,0.0,0.0,0.0,0.0,0.0,0,7.0
Marcus Ericsson,0.5,0.0,0.0,0.0,0.0,0.0,0,0.5
Sergey Sirotkin,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0
Brendon Hartley,0.35,0.0,0.0,0.0,0.0,0.0,0,0.35
Nyck de Vries,0.0,0.0,0.0,0.0,0.0,2.0,0,2.0
